layer_no,date,code_no,type,press_1,press_2,machine_no,sintering_furnace_no,furnace_no,zone,pass_no,Br,Br_remarks,iHc,iHc_remarks,iHk,iHk_remarks,BHMax,BHMax_remarks,iHr95,iHr95_remarks,iHr98,iHr98_remarks,iHkiHc,iHkiHc_remarks,Br4pai,Br4pai_remarks,bHc,bHc_remarks,Squareness,Squareness_remarks,4paiId,4paiId_remarks,4paiIs,4paiIs_remarks,4paiIa,4paiIa_remarks,Tracer
1,1711 0000 02,2025-04-20,0G00755,N52AS-GF,1711,0000,02,K40-0581,C-33,11CG,1,14280,,19677,,18256,,48.89,,18201,,17735,,1421,,793,,13748,,0.959,,13959,,14620,,13487,,PG
1,1711 0000 02,2025-04-20,0G00755,N52AS-GF,1711,0000,02,K40-0581,C-33,11BF,1,14196,,21042,,19694,,48.36,,19719,,19275,,1348,,713,,13652,,0.96,,13881,,14526,,13483,,PG
1,1711 0000 02,2025-04-20,0G00755,N52AS-GF,1711,0000,02,K40-0581,C-33,11AE,1,14168,,19196,,17633,,48.15,,17595,,17120,,1564,,1263,,13625,,0.959,,13853,,14502,,12905,,PG
1,1711 0000 02,2025-04-20,0G00755,N52AS-GF,1711,0000,02,K40-0581,C-33,11EH1,1,14273,,20558,,19048,,48.97,,19063,,18611,,1510,,713,,13729,,0.962,,13968,,14573,,13560,,PG
1,1711 0000 02,2025-04-20,0G00755,N52AS-GF,1711,0000,02,K40-0581,C-33,11DG,1,14233,,19187,,17764,,48.57,,17700,,17234,,1423,,1119,,13697,,0.959,,13906,,14574,,13114,,PG
1,1711 0000 02,2025-04-20,0G00755,N52AS-GF,1711,0000,02,K40-0581,C-33,11FG,1,14241,,21202,,19782,,48.66,,19778,,19305,,1419,,689,,13709,,0.96,,13925,,14586,,13552,,PG
1,1711 0000 02,2025-04-20,0G00755,N52AS-GF,1711,0000,02,K40-0581,C-33,11GG,1,14254,,20101,,18728,,48.74,,18696,,18228,,1373,,705,,13724,,0.96,,13935,,14595,,13549,,PG
1,1711 0000 02,2025-04-20,0G00755,N52AS-GF,1711,0000,02,K40-0581,C-33,11HH,1,14162,,20330,,18899,,48.07,,18873,,18382,,1431,,715,,13632,,0.959,,13834,,14507,,13447,,PG
1,1711 0000 02,2025-04-20,0G00755,N52AS-GF,1711,0000,02,K40-0581,C-33,11JH,1,14232,,19630,,18162,,48.58,,18111,,17652,,1468,,820,,13707,,0.959,,13908,,14579,,13412,,PG
1,1711 0000 02,2025-04-20,0G00755,N52AS-GF,1711,0000,02,K40-0581,C-33,11KG,1,14178,,20234,,18798,,48.19,,18780,,18297,,1436,,718,,13648,,0.959,,13858,,14532,,13460,,PG
