layer_no,lot_no,date,code_no,type,press_1,press_2,machine_no,sintering_furnace_no,furnace_no,zone,pass_no,Br,Br_remarks,iHc,iHc_remarks,iHk,iHk_remarks,BHMax,BHMax_remarks,iHr95,iHr95_remarks,iHr98,iHr98_remarks,iHkiHc,iHkiHc_remarks,Br4pai,Br4pai_remarks,bHc,bHc_remarks,Squareness,Squareness_remarks,4paiId,4paiId_remarks,4paiIs,4paiIs_remarks,4paiIa,4paiIa_remarks,Tracer
1,1711 0000 02,2025-04-20,0G00755,N52AS-GF,1711,0000,02,K40-0581,C-33,11CG,1,14280,0,19677,0,18256,0,48.89,0,18201,0,17735,0,1421,0,793,0,13748,0,0.959,0,13959,0,14620,0,13487,0,PG
1,1711 0000 02,2025-04-20,0G00755,N52AS-GF,1711,0000,02,K40-0581,C-33,11BF,1,14196,0,21042,0,19694,0,48.36,0,19719,0,19275,0,1348,0,713,0,13652,0,0.96,0,13881,0,14526,0,13483,0,PG
1,1711 0000 02,2025-04-20,0G00755,N52AS-GF,1711,0000,02,K40-0581,C-33,11AE,1,14168,0,19196,0,17633,0,48.15,0,17595,0,17120,0,1564,0,1263,0,13625,0,0.959,0,13853,0,14502,0,12905,0,PG
1,1711 0000 02,2025-04-20,0G00755,N52AS-GF,1711,0000,02,K40-0581,C-33,11EH1,1,14273,0,20558,0,19048,0,48.97,0,19063,0,18611,0,1510,0,713,0,13729,0,0.962,0,13968,0,14573,0,13560,0,PG
1,1711 0000 02,2025-04-20,0G00755,N52AS-GF,1711,0000,02,K40-0581,C-33,11DG,1,14233,0,19187,0,17764,0,48.57,0,17700,0,17234,0,1423,0,1119,0,13697,0,0.959,0,13906,0,14574,0,13114,0,PG
1,1711 0000 02,2025-04-20,0G00755,N52AS-GF,1711,0000,02,K40-0581,C-33,11FG,1,14241,0,21202,0,19782,0,48.66,0,19778,0,19305,0,1419,0,689,0,13709,0,0.96,0,13925,0,14586,0,13552,0,PG
1,1711 0000 02,2025-04-20,0G00755,N52AS-GF,1711,0000,02,K40-0581,C-33,11GG,1,14254,0,20101,0,18728,0,48.74,0,18696,0,18228,0,1373,0,705,0,13724,0,0.96,0,13935,0,14595,0,13549,0,PG
1,1711 0000 02,2025-04-20,0G00755,N52AS-GF,1711,0000,02,K40-0581,C-33,11HH,1,14162,0,20330,0,18899,0,48.07,0,18873,0,18382,0,1431,0,715,0,13632,0,0.959,0,13834,0,14507,0,13447,0,PG
1,1711 0000 02,2025-04-20,0G00755,N52AS-GF,1711,0000,02,K40-0581,C-33,11JH,1,14232,0,19630,0,18162,0,48.58,0,18111,0,17652,0,1468,0,820,0,13707,0,0.959,0,13908,0,14579,0,13412,0,PG
1,1711 0000 02,2025-04-20,0G00755,N52AS-GF,1711,0000,02,K40-0581,C-33,11KG,1,14178,0,20234,0,18798,0,48.19,0,18780,0,18297,0,1436,0,718,0,13648,0,0.959,0,13858,0,14532,0,13460,0,PG
